Image,I1,I2,I3,I4,I5,I6,Class
Captured 5 - vermelho.jpg,0.747638788,2.515528661,4.589609738,4.828169495,9.706938205,6.091961852,Corante
Captured 5 - vermelho.jpg,0.61871367,2.548014386,2.585181291,3.260696303,6.789234283,4.820401366,Corante
Captured 5 - vermelho.jpg,0.75623314,3.181780493,3.485368451,7.196871398,12.53799213,8.811986959,Corante
Captured 5 - vermelho.jpg,0.735376672,2.714516038,3.151942836,4.404667042,8.979693587,5.842218444,Corante
Captured 5 - vermelho.jpg,0.674035517,1.919144263,3.03980602,4.370237326,8.580601343,5.653438774,Corante
Captured 5 - vermelho.jpg,0.738519279,2.533176894,3.246134748,5.996255309,10.62112532,7.29600839,Corante
Captured 5 - vermelho.jpg,0.342883642,1.364503705,1.705052775,2.759271087,5.356054607,3.748166791,Corante
Captured 5 - vermelho.jpg,0.498161116,1.30791771,2.634295225,3.541922833,6.637736255,4.239533278,Corante
Captured 5 - vermelho.jpg,0.713753024,2.789434718,2.775347491,4.193140866,8.163848618,5.615045154,Corante
Captured 5 - vermelho.jpg,0.504089154,1.841836629,1.668191462,1.935411594,3.835380554,3.985840009,Corante
Captured 5 - vermelho.jpg,0.711929106,2.147496473,3.078963625,4.319381276,8.807962745,5.948600835,Corante
Captured 5 - vermelho.jpg,0.676199602,2.670500482,2.463376801,4.89175562,8.581145216,6.274921067,Corante
Captured 5 - vermelho.jpg,0.653895688,3.197386714,2.472087352,3.273023339,6.362540506,5.014108079,Corante
Captured 5 - vermelho.jpg,0.444274283,1.749884983,2.69235556,2.966406453,5.803407291,4.287912132,Corante
Captured 5 - vermelho.jpg,0.667147854,2.481625086,2.57941725,3.435643813,6.835820023,4.686283929,Corante
Captured 5 - vermelho.jpg,0.641063734,2.065546123,2.549265978,2.861420871,5.571707496,4.171755999,Corante
Captured 5 - vermelho.jpg,0.738071043,3.01552311,3.010407651,5.108754543,9.258906634,6.640186077,Corante
Captured 5 - vermelho.jpg,0.675454377,2.738049995,3.449600737,3.633847373,8.798717209,5.006873387,Corante
Captured 5 - vermelho.jpg,0.435050469,1.10232908,2.844743291,3.901910007,8.148507839,6.902287679,Corante
Captured 5 - vermelho.jpg,0.658161405,2.049482191,2.779598629,3.372367962,6.457542518,4.399327155,Corante
Captured 5 - vermelho.jpg,0.392062779,1.552948034,1.809603577,2.609510105,5.156367798,4.041631699,Corante
Captured 5 - vermelho.jpg,0.523002556,1.492092663,1.932588029,2.256382409,4.355843073,3.0669857,Corante
Captured 5 - vermelho.jpg,0.494860952,1.809505388,2.727833531,2.809925269,5.891076081,3.791828269,Corante
Captured 5 - vermelho.jpg,0.710382961,2.107106985,3.795468793,4.125546245,8.104580538,5.33355875,Corante
Captured 5 - vermelho.jpg,0.67922362,2.392999006,3.239504994,3.781079183,7.800207763,5.019088201,Corante
Captured 5 - vermelho.jpg,0.749536199,2.974326605,3.108555888,4.206690108,7.883163577,5.707046457,Corante
Captured 5 - vermelho.jpg,0.699384324,2.382886646,2.928314946,4.844167414,8.808323515,6.700797669,Corante
Captured 5 - vermelho.jpg,0.759819818,2.929278352,3.993602328,5.710616508,12.34246178,7.527453321,Corante
Captured 5 - vermelho.jpg,0.73343373,2.662566685,3.206475398,4.271765319,8.088439129,6.549648272,Corante
Captured 5 - vermelho.jpg,0.722132808,4.156606768,3.594645371,3.812829484,7.563185588,6.238283411,Corante
Captured 5 - vermelho.jpg,0.777561033,3.936875116,4.56772469,5.46102559,10.52415195,7.457633543,Corante
Captured 5 - vermelho.jpg,0.705640308,2.506068497,2.571009927,4.280938597,7.719847176,5.594188047,Corante
Captured 5 - vermelho.jpg,0.548036543,2.500572793,1.758629261,2.50278087,5.854638236,5.209618873,Corante
