I1,I2,I3,I4,I5,I6,Class
0.785024918,25.05024023,19.78934867,19.6854458,39.43275394,32.23007705,Candida
0.747652317,7.325681541,3.311461607,4.22912709,8.478741725,7.899233306,Corante
0.710259457,4.470341181,4.124310675,3.721916978,7.915262843,6.154354756,Corante
0.648548124,1.733694698,3.155746813,4.592956636,8.523812193,6.234508581,Corante
0.785024918,25.05024023,20.20120612,20.15802961,40.35320759,32.8477481,Candida
0.751560776,2.398358479,3.748883942,5.592108546,10.66983467,7.384033716,Corante
0.707071122,2.77590788,2.525754545,4.246716531,7.639428614,5.635335208,Candida
0.729163919,2.281265884,3.124280145,4.570012743,8.727493105,6.004270619,Candida
0.785024918,25.05024023,20.81189825,20.14084984,40.69209809,32.77925587,Candida
0.76104425,2.349593762,4.352280147,5.833531927,11.49069548,8.11011294,Candida
0.659276438,1.911310477,4.293754585,4.388456493,8.735512929,5.591413044,Corante
0.58580124,1.398563202,21.65299137,21.56786167,43.183627,22.62766458,Candida
0.777642491,3.378151252,3.502345765,5.017171261,11.56287356,8.326877943,Candida
0.78853384,3.178951121,4.641661253,6.024335335,11.57867725,7.801359723,Candida
0.70068263,2.423136513,2.654363522,4.332049426,7.907268077,5.636863906,Corante
0.730537813,2.354442055,4.278629093,5.218004596,10.04004167,6.719399209,Corante
0.479285007,1.674746647,2.521772957,2.276995192,4.841959011,3.165080974,Candida
0.767985827,2.474984237,5.366397989,6.648245196,12.72805757,8.837060216,Candida
0.785024918,23.84613035,18.88546735,18.40140586,37.06790989,30.35940741,Candida
0.763377291,2.539458133,3.738494449,5.121032842,9.597007896,6.516947936,Candida
0.483284239,1.259473187,2.162363615,2.741939681,5.2407554,3.461865591,Candida
0.734777037,2.303282714,3.129371876,4.240121447,7.926383439,5.392623541,Candida
0.578924038,1.456393784,2.352134783,2.893878583,5.523094011,3.633068377,Corante
0.387360284,0.972152195,23.17001984,23.20929995,46.39896129,24.79933768,Candida
0.502962808,1.430704585,2.190617303,3.258554549,6.008934822,4.172164477,Corante
0.680465107,2.514242625,2.640860474,3.58230781,6.733187884,5.281665928,Corante
0.772940782,2.658782373,4.57340584,6.124708269,11.87727496,7.887028324,Candida
0.66657439,2.087342773,2.436857669,3.317854188,6.29777505,4.595538671,Candida
0.611940163,1.983105031,2.520093528,2.915350457,5.734145266,4.080843155,Corante
0.735059573,2.186215533,4.094897992,5.074471389,9.743247855,6.229685029,Candida
0.721557398,2.010863355,3.844593387,4.847862747,9.544232736,6.40261133,Candida
0.657959407,1.78363102,2.875847637,3.729104768,7.452163535,5.282467246,Corante
0.533020228,1.516036762,2.140547554,2.659584823,5.127015259,3.793253474,Candida
0.662619982,1.709715755,19.65986741,19.66380216,39.32564778,20.57162108,Candida
0.634945842,1.994208623,2.562164065,3.606318329,7.514644035,4.994295333,Corante
0.774395105,2.905106327,4.266529858,5.734667911,11.08430226,7.216228884,Corante
0.427435025,1.330627297,1.409926624,2.091035613,3.854862168,2.808209971,Corante
0.739031747,2.13629955,4.829129357,6.079422061,11.53769203,7.147609293,Candida
-0.002712735,0.224446394,0.505460019,1.366924644,2.497194194,1.599909576,Corante
0.511218207,1.284565537,2.589484013,3.40240498,6.430701583,4.084966614,Candida
0.592442347,1.579555413,2.461140332,3.455192259,6.414315794,4.306480658,Candida
0.763133641,3.198050379,3.542027153,4.524944043,8.560207246,6.126294291,Corante
0.771095146,2.524442725,4.088309027,5.776441195,10.72252708,7.043338743,Candida
0.768259344,3.459187501,3.351609891,5.261474277,9.618325388,8.699670024,Candida
0.487794068,1.308775332,1.738901934,2.094457203,4.026729686,2.761778142,Corante
0.673657486,1.745579213,4.001586047,4.657697008,8.988697232,5.530910228,Candida
0.583451216,1.609459496,3.396870578,3.766043851,7.586280887,5.142758112,Corante
0.741567336,2.208332949,4.295092726,5.613705298,10.56898994,6.732512985,Corante
0.73435583,2.310543809,4.67376594,4.602755969,9.749046374,5.764620919,Corante
0.226575524,0.493989164,2.133730347,2.306995638,4.529094506,2.587060201,Corante
0.755874324,2.315692359,3.791127535,5.048197656,9.538803736,6.303706335,Candida
0.563998778,1.544106526,3.082547174,3.767646072,7.236953927,4.539706211,Candida
0.732846743,2.689775545,2.852663234,4.355262126,8.538951663,6.190972655,Corante
0.725067638,2.084241801,5.101436677,4.853709373,9.911121742,5.904001724,Candida
0.782763283,2.92434936,4.049172553,5.895100509,11.56725774,7.691571258,Candida
0.621688151,2.161782468,2.909090394,3.418996725,6.646317822,5.047107039,Corante
0.586204359,1.927213089,2.166974796,2.752648878,5.21314356,3.79555075,Corante
0.720141915,2.198420011,3.806548799,4.943907639,9.478304667,6.332401211,Candida
0.744461205,2.327498946,4.081129291,4.820575301,9.282707823,5.986304529,Corante
0.632470136,2.383024024,2.560321262,2.849082465,5.602317251,4.205700371,Candida
0.685944675,1.830358704,3.785062343,4.296253506,8.343139683,5.246957952,Candida
0.425330023,1.082796565,1.539818263,1.682001464,3.29332196,2.263983988,Corante
0.718798506,2.128205025,3.605154013,4.181429524,8.105345378,5.477865893,Corante
0.728634304,2.049967137,3.882848111,4.835442714,9.214403477,5.897886385,Candida
0.738912865,2.107854117,4.962413401,6.161216921,11.7707017,7.2901751,Candida
0.709295817,2.070497634,3.618840095,4.163142335,8.23905,5.242164112,Corante
