I0,I1,I2,Area,I3,I4,I5,Class
0.751278839,3.71180701,3.203692454,67,5.747441128,10.4222319,7.677976444,Giovanna
0.561926979,2.154849636,2.178255765,79,4.21359476,8.138131788,5.319969301,Giovanna
0.441942882,1.230202211,1.838863447,54,2.63218101,5.04329976,3.30473909,Giovanna
0.533329483,1.502404432,2.809655744,302.5,3.391995099,6.673479785,4.569137404,Giovanna
0.603408134,1.578218721,2.610701218,60.5,3.574302639,6.775617775,4.45968178,Giovanna
0.516462079,1.453484457,2.062471771,350.5,2.327912969,4.52643208,3.076004964,Giovanna
0.623809153,2.627851854,2.5425428,1262,3.793154967,7.110184798,5.368881219,Giovanna
0.549310245,1.647998979,2.222698282,71,3.191522603,5.934969947,4.015704883,Giovanna
0.621386462,2.043168877,2.131793472,60,3.249943206,6.02172366,4.831161027,Giovanna
0.682028492,3.144241107,3.012295019,113.5,4.41615011,8.170126788,6.278287436,Giovanna
0.682308323,2.595440657,2.609190492,137,3.982257747,7.362548365,5.280119448,Giovanna
0.702191971,2.228730797,3.429468198,64,4.524576139,8.532816689,5.640728656,Giovanna
0.54880419,2.389626875,2.051090888,2976,3.602781473,6.470424205,4.991491361,Giovanna
0.566312458,1.8809776,2.457278357,135,3.42819541,7.991035179,5.525755571,Giovanna
0.606954713,1.708433185,2.328277512,58,3.018597483,5.763316154,3.975132016,Giovanna
0.569162476,2.220196499,2.465471033,71.5,3.454882947,6.419761259,4.578580234,Giovanna
0.535237385,2.089654068,1.692116913,77,2.875019544,5.322203971,4.057152326,Giovanna
0.292552085,0.763195234,1.976160985,72.5,2.968522878,5.52410447,3.452049899,Giovanna
0.624223276,1.992678691,2.272395627,100.5,3.209612792,6.024880616,4.245870553,Giovanna
0.450444035,1.289693081,2.557979382,74,2.806706423,5.489613831,3.679794257,Giovanna
0.411052875,1.139867013,2.936884644,11957,3.52021281,7.502289193,4.364262456,Giovanna
0.626103921,2.42322417,2.548454216,135,3.841769593,7.228155677,5.122926164,Giovanna
0.540117317,1.492307572,4.579597457,56,3.858202057,8.151291589,4.647015823,Giovanna
0.648980889,1.933957008,2.477463053,72.5,3.35493195,6.281644881,4.321910477,Giovanna
0.603463326,1.730934186,4.441048094,118,3.818218486,8.397797848,4.887650254,Giovanna
0.630226958,1.855099845,3.559160461,71.5,3.565743295,7.187794884,4.527120926,Giovanna
0.386945877,0.940111141,1.952993143,131.5,2.51022643,4.814737542,3.177285723,Giovanna
0.411700302,1.056479364,1.973988773,73.5,2.934477095,6.184676093,3.815592449,Giovanna
0.535174433,1.602920282,2.755683938,144.5,3.419816516,6.569603102,4.656506926,Giovanna
0.526495351,1.321044129,2.320088953,66.5,2.91439232,5.543698016,3.653317685,Giovanna
0.66515907,2.462130692,2.488304827,56,4.227811465,7.586481763,5.653565763,Giovanna
0.337358744,1.256319368,1.149662472,188,1.843828337,4.079904477,4.488761499,Giovanna
0.54541007,1.677070101,2.958269002,669,4.70469648,8.641071461,5.559319493,Giovanna
0.458420181,1.272653592,2.098287368,75,2.145744953,4.290231433,2.784707245,Giovanna
0.582150153,2.408501233,3.792067744,97.5,3.558417916,7.350786526,4.771593809,Giovanna
0.337141088,0.934737185,1.476819328,53,1.662540048,3.232230187,2.216452039,Giovanna
0.52643413,1.589078449,2.082583491,55,2.301686636,4.525222073,3.23477569,Giovanna
0.227098026,0.70386068,1.124977888,201.5,2.108655477,4.020732643,2.716980321,Giovanna
0.615464328,1.992260446,2.284716776,51.5,3.359864944,6.191981591,4.402485686,Giovanna
0.373208817,1.246636635,2.013089989,3101,3.167756206,6.771708793,3.938003076,Giovanna
0.62973907,1.662038353,2.7672173,59,3.651760941,7.00993203,5.067718253,Giovanna
0.557600656,1.770713906,2.102031735,66.5,3.535151758,6.637441812,4.866449334,Giovanna
0.595996182,1.675075012,2.360765906,53.5,2.945262609,5.635072083,3.789658331,Giovanna
0.540065184,1.481684138,2.32595412,162.5,2.995336785,5.68845461,3.806811177,Giovanna
0.462372076,1.450455957,2.294049127,63,2.365636784,4.725301743,3.139375073,Giovanna
0.447286264,1.320334826,2.243322316,56.5,2.805869751,5.374963309,3.505687172,Giovanna
0.516092941,1.675891476,3.214279025,75,5.251310895,9.511813421,6.196265192,Giovanna
0.481113514,1.375570253,1.71276307,61.5,2.565314099,4.715617896,3.256313196,Giovanna
0.288946018,0.815121422,1.080219048,74.5,1.330143402,2.538136933,1.738266395,Giovanna
0.580554775,1.4497971,2.765257828,81,3.204226993,6.208208553,4.061257732,Giovanna
0.546757852,1.471377994,2.549911192,5094.5,3.505877646,6.89621427,4.682777338,Giovanna
0.553808328,1.501290983,3.170103265,58.5,3.970210128,7.570643475,4.768029799,Giovanna
0.503506921,1.334243304,2.591777706,56.5,3.247493095,8.13666809,5.72816984,Giovanna
0.506629257,1.406023389,2.089042909,94.5,3.169715167,6.020528868,3.956212623,Giovanna
0.513327303,1.457759881,2.162203038,161,3.167093097,5.935708977,3.901128402,Giovanna
0.246523471,0.817717884,1.07547741,85,2.302211784,4.273614022,2.887158193,Giovanna
0.696954294,2.529887768,2.514379157,185,3.725986638,6.93740448,5.213125257,Giovanna
0.603718676,1.594872572,2.310875205,56,3.073962996,5.913644209,4.412245949,Giovanna
0.546327799,1.759231768,2.276481283,52,3.192426546,6.89799291,4.795887893,Giovanna
0.680053309,1.766777725,3.946137357,94.5,4.789633287,9.296556122,5.965610512,Giovanna
0.585871065,1.623916958,2.633864207,102.5,2.826634623,5.557011743,3.651255426,Giovanna
0.525736757,1.839311596,1.640204668,33293,2.081177602,3.956736345,3.052475744,Giovanna
0.597914555,1.700957675,3.328102157,88.5,5.128369448,9.387863853,5.988937616,Giovanna
0.386489467,0.929387936,1.975773128,60,2.862269017,6.136677823,3.912023525,Giovanna
0.687672285,2.037125269,2.930774845,53,4.142879573,7.808062356,5.391538925,Giovanna
0.663499351,1.904182648,2.919475361,50,3.838461827,7.884590082,5.196453615,Giovanna
0.505923276,1.63930374,2.037093719,464.5,2.964267397,5.50719264,3.807237127,Giovanna
0.328015589,0.745257861,2.695264056,54,3.472791601,8.994742723,4.40552493,Giovanna
0.635069932,1.758153576,3.311933381,123,4.266510603,8.123393996,5.452056488,Giovanna
0.595712426,2.745614275,2.382028216,58.5,3.349913916,6.282162791,4.725531776,Giovanna
0.586360013,1.916286088,2.488591351,73.5,6.468924245,10.95307781,7.539627304,Giovanna
0.511223794,1.530465265,1.769503041,55.5,3.125332418,6.013593327,4.079735918,Giovanna
0.554687428,1.918846124,2.323511244,68,3.515576066,6.441062906,5.025030524,Giovanna
0.566904835,1.482169395,2.275648753,53.5,3.26438801,6.473646432,4.225195505,Giovanna
0.696172561,1.990581772,3.329269898,55,4.404542716,8.99258081,5.906598729,Giovanna
